{'x': 4.448235850821899, 'y': 4.129102021370549, 'theta': 10.402133279819077}
{'x': 4.448233346526713, 'y': 4.1291016652059405, 'theta': 10.402313594485609}
{'x': 4.448230800953333, 'y': 4.1291013580251, 'theta': 10.402493869530684}
{'x': 4.448228295498298, 'y': 4.12910100183589, 'theta': 10.402674191564865}
{'x': 4.448225748765667, 'y': 4.129100694643727, 'theta': 10.402854473855834}
{'x': 4.4482232421509895, 'y': 4.129100338430204, 'theta': 10.403034803055139}
{'x': 4.4482232421509895, 'y': 4.129100338430204, 'theta': 10.403034803055139}
{'x': 4.4482181864851835, 'y': 4.129099674989602, 'theta': 10.40339542855078}
{'x': 4.448215637434654, 'y': 4.129099367775861, 'theta': 10.403575724724849}
{'x': 4.448213128501305, 'y': 4.129099011514636, 'theta': 10.403756067645219}
{'x': 4.448213128501305, 'y': 4.129099011514636, 'theta': 10.403756067645219}
{'x': 4.448208068199788, 'y': 4.129098348005771, 'theta': 10.404116719931052}
{'x': 4.448205516832248, 'y': 4.129098040771471, 'theta': 10.404297029173483}
{'x': 4.448203005581326, 'y': 4.129097684463483, 'theta': 10.404477384996953}
{'x': 4.448200453055836, 'y': 4.129097377219278, 'theta': 10.404657700463927}
{'x': 4.448197940646656, 'y': 4.129097020888262, 'theta': 10.404838062428896}
{'x': 4.448195386963295, 'y': 4.129096713634365, 'theta': 10.405018383916413}
{'x': 4.448192873395949, 'y': 4.129096357280533, 'theta': 10.405198751819015}
{'x': 4.448190318554849, 'y': 4.12909605001717, 'theta': 10.405379079122934}
{'x': 4.448190318554849, 'y': 4.12909605001717, 'theta': 10.405379079122934}
{'x': 4.44818524783088, 'y': 4.1290953863681334, 'theta': 10.405739785674438}
{'x': 4.4481827319477745, 'y': 4.129095029969321, 'theta': 10.405920164838653}
{'x': 4.448180174791865, 'y': 4.12909472268751, 'theta': 10.406100503160536}
{'x': 4.448177657751318, 'y': 4.129094366265786, 'theta': 10.406280887647123}
{'x': 4.448175099438517, 'y': 4.129094058973777, 'theta': 10.406461231168839}
{'x': 4.448172581240675, 'y': 4.129093702528605, 'theta': 10.406641620774053}
{'x': 4.448172581240675, 'y': 4.129093702528605, 'theta': 10.406641620774053}
{'x': 4.448167502415947, 'y': 4.12909303875802, 'theta': 10.407002363813906}
{'x': 4.448164941789793, 'y': 4.129092731445766, 'theta': 10.407182717123446}
{'x': 4.448162421277891, 'y': 4.129092374954354, 'theta': 10.407363116352627}
{'x': 4.448162421277891, 'y': 4.129092374954354, 'theta': 10.407363116352627}
{'x': 4.44815733782714, 'y': 4.129091711118047, 'theta': 10.407723877974783}
{'x': 4.448154774889014, 'y': 4.129091403786379, 'theta': 10.407904240241281}
{'x': 4.448152252064849, 'y': 4.12909104724965, 'theta': 10.408084648254883}
{'x': 4.448149687972733, 'y': 4.129090739908833, 'theta': 10.40826501466137}
{'x': 4.448147163994799, 'y': 4.129090383350032, 'theta': 10.408445426715257}
{'x': 4.448144598750028, 'y': 4.129090076000439, 'theta': 10.408625797019408}
{'x': 4.448142073618984, 'y': 4.129089719419849, 'theta': 10.4088062128771}
