{'x': 6.917464791664067, 'y': -8.613519568204179, 'theta': 96.75925969116616}
{'x': 6.917465473950986, 'y': -8.613522699934217, 'theta': 96.75920346711175}
{'x': 6.91746612783017, 'y': -8.613525796428268, 'theta': 96.75914826916885}
{'x': 6.91746612783017, 'y': -8.613525796428268, 'theta': 96.75914826916885}
{'x': 6.917467466760833, 'y': -8.613532016210979, 'theta': 96.75903922952766}
{'x': 6.9174681519289685, 'y': -8.61353513957162, 'theta': 96.75898538116144}
{'x': 6.9174681519289685, 'y': -8.61353513957162, 'theta': 96.75898538116144}
{'x': 6.917468808445249, 'y': -8.613538227583208, 'theta': 96.7589325657322}
{'x': 6.917469495045506, 'y': -8.61354134678193, 'theta': 96.75887990035741}
{'x': 6.917470152872651, 'y': -8.613544430575768, 'theta': 96.7588282712875}
{'x': 6.917471500032308, 'y': -8.613550625219398, 'theta': 96.75872633971407}
{'x': 6.91747218947993, 'y': -8.613553736139645, 'theta': 96.75867603065458}
{'x': 6.917472849913524, 'y': -8.613556811544735, 'theta': 96.75862676454766}
{'x': 6.917473540776428, 'y': -8.613559918348342, 'theta': 96.75857762882735}
{'x': 6.917474202505641, 'y': -8.613562989582348, 'theta': 96.75852953933963}
{'x': 6.917474202505641, 'y': -8.613562989582348, 'theta': 96.75852953933963}
{'x': 6.9174748947782545, 'y': -8.613566092284332, 'theta': 96.7584815737563}
{'x': 6.9174755577980385, 'y': -8.613569159362724, 'theta': 96.75843465765699}
{'x': 6.917476251474806, 'y': -8.613572257978058, 'theta': 96.75838785901603}
{'x': 6.9174776108555145, 'y': -8.613578415459873, 'theta': 96.75829647819647}
{'x': 6.917478276441366, 'y': -8.613581474273266, 'theta': 96.7582518992124}
{'x': 6.917478276441366, 'y': -8.613581474273266, 'theta': 96.7582518992124}
{'x': 6.917479639771233, 'y': -8.613587619463983, 'theta': 96.75816400966151}
{'x': 6.917480337627322, 'y': -8.613590705908816, 'theta': 96.7581206927565}
{'x': 6.917480337627322, 'y': -8.613590705908816, 'theta': 96.7581206927565}
{'x': 6.917481704997468, 'y': -8.613596838936246, 'theta': 96.75803627539374}
{'x': 6.917481704997468, 'y': -8.613596838936246, 'theta': 96.75803627539374}
{'x': 6.917482374394988, 'y': -8.613599885467066, 'theta': 96.75799517804694}
{'x': 6.917483075009866, 'y': -8.613602963872381, 'theta': 96.75795416646649}
{'x': 6.917484447654129, 'y': -8.613609080747167, 'theta': 96.7578743596422}
{'x': 6.917484447654129, 'y': -8.613609080747167, 'theta': 96.7578743596422}
{'x': 6.917173476544351, 'y': -8.610980244269086, 'theta': 96.75855649491977}
{'x': 6.91683286152402, 'y': -8.608105890183554, 'theta': 96.75933241987069}
{'x': 6.91683286152402, 'y': -8.608105890183554, 'theta': 96.75933241987069}
{'x': 6.916389735655547, 'y': -8.60436595328711, 'theta': 96.75583063885205}
{'x': 6.915155496779299, 'y': -8.593946739379472, 'theta': 96.74733287979305}
{'x': 6.915155496779299, 'y': -8.593946739379472, 'theta': 96.74733287979305}
{'x': 6.914378169589833, 'y': -8.587380527436853, 'theta': 96.74455917190093}
{'x': 6.912521083690272, 'y': -8.571685737948005, 'theta': 96.74130500115722}
{'x': 6.911453113309809, 'y': -8.56266427386709, 'theta': 96.73778364209521}
{'x': 6.910282999302066, 'y': -8.55277309410405, 'theta': 96.74205831692473}
{'x': 6.910282999302066, 'y': -8.55277309410405, 'theta': 96.74205831692473}
{'x': 6.907655142147352, 'y': -8.530554887517479, 'theta': 96.75997281950661}
{'x': 6.907655142147352, 'y': -8.530554887517479, 'theta': 96.75997281950661}
